l0_norm,l2_norm,linf_norm,ssim,psnr,query_count,attack_time,success
1.0,0,0,0,0,100,0.5235207080841064,True
1.0,0,0,0,0,100,0.5623266696929932,True
1.0,0,0,0,0,100,0.5611224174499512,True
1.0,0,0,0,0,100,0.554851770401001,True
1.0,0,0,0,0,100,0.547316312789917,True
1.0,0,0,0,0,100,0.5900998115539551,True
0.0,0,0,0,0,100,11.904923677444458,False
1.0,0,0,0,0,100,0.5192487239837646,True
1.0,0,0,0,0,100,13.787792682647705,True
1.0,0,0,0,0,100,0.5223243236541748,True
1.0,0,0,0,0,100,0.5258924961090088,True
1.0,0,0,0,0,100,0.5245921611785889,True
1.0,0,0,0,0,100,0.5195839405059814,True
1.0,0,0,0,0,100,0.48772716522216797,True
1.0,0,0,0,0,100,0.5150856971740723,True
1.0,0,0,0,0,100,0.5043528079986572,True
1.0,0,0,0,0,100,0.5408055782318115,True
1.0,0,0,0,0,100,0.6121072769165039,True
1.0,0,0,0,0,100,0.541799783706665,True
1.0,0,0,0,0,100,0.5245609283447266,True
0.0,0,0,0,0,100,0.5405228137969971,False
1.0,0,0,0,0,100,0.5166752338409424,True
1.0,0,0,0,0,100,4.62624716758728,True
1.0,0,0,0,0,100,0.5554633140563965,True
1.0,0,0,0,0,100,0.5134565830230713,True
1.0,0,0,0,0,100,0.5455763339996338,True
1.0,0,0,0,0,100,0.5127570629119873,True
1.0,0,0,0,0,100,0.5437123775482178,True
1.0,0,0,0,0,100,0.5564873218536377,True
1.0,0,0,0,0,100,0.5092837810516357,True
1.0,0,0,0,0,100,0.5559093952178955,True
1.0,0,0,0,0,100,0.5797698497772217,True
1.0,0,0,0,0,100,0.5508310794830322,True
1.0,0,0,0,0,100,0.5191080570220947,True
1.0,0,0,0,0,100,0.5299663543701172,True
1.0,0,0,0,0,100,0.558009147644043,True
1.0,0,0,0,0,100,0.5479052066802979,True
1.0,0,0,0,0,100,0.5728027820587158,True
1.0,0,0,0,0,100,0.5604958534240723,True
1.0,0,0,0,0,100,12.58754277229309,True
1.0,0,0,0,0,100,0.5341296195983887,True
1.0,0,0,0,0,100,0.5857274532318115,True
1.0,0,0,0,0,100,0.537893533706665,True
1.0,0,0,0,0,100,0.5754358768463135,True
1.0,0,0,0,0,100,0.6397356986999512,True
1.0,0,0,0,0,100,0.7515630722045898,True
1.0,0,0,0,0,100,0.6883125305175781,True
1.0,0,0,0,0,100,0.7016229629516602,True
1.0,0,0,0,0,100,0.6851339340209961,True
1.0,0,0,0,0,100,0.6828036308288574,True
1.0,0,0,0,0,100,0.7239696979522705,True
1.0,0,0,0,0,100,0.6877861022949219,True
1.0,0,0,0,0,100,0.7071950435638428,True
1.0,0,0,0,0,100,9.749754667282104,True
1.0,0,0,0,0,100,0.708970308303833,True
1.0,0,0,0,0,100,0.7496142387390137,True
0.0,0,0,0,0,100,6.440917015075684,False
1.0,0,0,0,0,100,0.682532787322998,True
1.0,0,0,0,0,100,0.542238712310791,True
1.0,0,0,0,0,100,0.5208883285522461,True
1.0,0,0,0,0,100,0.5717015266418457,True
1.0,0,0,0,0,100,0.5212211608886719,True
1.0,0,0,0,0,100,0.5108826160430908,True
1.0,0,0,0,0,100,0.5631802082061768,True
1.0,0,0,0,0,100,0.5103561878204346,True
1.0,0,0,0,0,100,0.5188596248626709,True
1.0,0,0,0,0,100,0.5395185947418213,True
1.0,0,0,0,0,100,0.5212855339050293,True
1.0,0,0,0,0,100,0.5164031982421875,True
1.0,0,0,0,0,100,1.520076036453247,True
1.0,0,0,0,0,100,0.5116145610809326,True
1.0,0,0,0,0,100,0.5079612731933594,True
1.0,0,0,0,0,100,0.5138075351715088,True
1.0,0,0,0,0,100,0.5127079486846924,True
1.0,0,0,0,0,100,0.5388884544372559,True
1.0,0,0,0,0,100,0.5354783535003662,True
1.0,0,0,0,0,100,0.5196115970611572,True
1.0,0,0,0,0,100,0.532233715057373,True
1.0,0,0,0,0,100,0.5180985927581787,True
1.0,0,0,0,0,100,0.5077648162841797,True
1.0,0,0,0,0,100,0.52793288230896,True
1.0,0,0,0,0,100,9.380109786987305,True
1.0,0,0,0,0,100,5.286535739898682,True
1.0,0,0,0,0,100,18.748703956604004,True
1.0,0,0,0,0,100,0.7130382061004639,True
1.0,0,0,0,0,100,0.690650224685669,True
1.0,0,0,0,0,100,0.7171738147735596,True
1.0,0,0,0,0,100,7.846803426742554,True
1.0,0,0,0,0,100,0.7177393436431885,True
1.0,0,0,0,0,100,0.6823241710662842,True
1.0,0,0,0,0,100,0.6962029933929443,True
1.0,0,0,0,0,100,0.720747709274292,True
1.0,0,0,0,0,100,0.6967742443084717,True
1.0,0,0,0,0,100,0.7153007984161377,True
1.0,0,0,0,0,100,0.6820173263549805,True
1.0,0,0,0,0,100,0.7124538421630859,True
1.0,0,0,0,0,100,0.6882002353668213,True
1.0,0,0,0,0,100,0.7248098850250244,True
1.0,0,0,0,0,100,0.7140822410583496,True
1.0,0,0,0,0,100,0.5383222103118896,True
